analise,status,datasets,campos,periodo,cobertura,escala,transformacao,limitacao,confianca,proximo_passo
"B.8 Resultados por município, rede e etapa","PRONTA","Banco SESI public.rendimento_escolar; public.distorcao_idade_serie; public.saeb_ideb","id_municipio; ano; dependencia/rede; etapa_ensino/categoria; indicador; valor","rendimento 2018-2025; TDI 2019-2025; IDEB 2005-2025","497 municípios do RS; IDEB completo no RS desde 2011","município; região; RS; rede; etapa","Normalizar rótulos de rede/etapa entre fontes","IDEB tem periodicidade e supressões próprias","alta","Consumir séries por indicador"
"B.9 Histórico anual comparável da trajetória","PARCIAL","Banco SESI public.rendimento_escolar; public.distorcao_idade_serie; PNE inep_indicadores_eb","ano; id_municipio; etapa; rede; taxas; status","2018-2025 para rendimento; 2019-2025 para TDI; transição só 2021-2022","497 municípios para famílias contínuas","município e região","Construir painel por família e não uma falsa série única","Janelas e periodicidades diferem; transição interrompida","alta","Publicar séries separadas e declarar quebras"
"C.1 Contribuição de cada município para a mudança regional","DERIVÁVEL","Mapa FIERGS município-região; séries municipais educacionais/demográficas/RAIS","id_municipio; regiao; ano; valor; peso/numerador/denominador","conforme série; núcleo 2014-2025","497 municípios em 10 regiões FIERGS para o núcleo","município e região","Decompor delta regional por contribuição aditiva ou por numerador/denominador","Taxas exigem decomposição específica; não usar diferença simples como causalidade","alta","Materializar contribuição por família de métrica"
"C.2 Municípios em direção diferente da região","DERIVÁVEL","Mapa FIERGS; séries municipais com pelo menos dois períodos","id_municipio; regiao; ano; valor","conforme série","497 municípios quando a série é completa","município e região","Calcular sinal da variação municipal e regional em janela comum","Sensível a base pequena e supressões","alta","Aplicar limiar de qualidade e mostrar valores"
"C.3 Resultado regional retirando um município por vez","DERIVÁVEL","Mapa FIERGS; numeradores e denominadores municipais","id_municipio; regiao; ano; numerador; denominador","conforme série","regiões FIERGS com municípios cobertos","região e município","Recalcular soma ou razão regional excluindo cada município","Só é válido quando a composição regional é aditiva/recomputável","alta","Criar rotina de leave-one-out por contrato de métrica"
"C.4 Comparação do município com região, RS e pares","PARCIAL","PNE diagnósticos públicos; mapa FIERGS; Banco SESI","id_municipio; regiao; ano; indicador; valor","varia por indicador","município, 10 regiões e RS; pares não canônicos para todas as séries","município; região; RS; pares","Reutilizar comparadores oficiais onde existentes e definir pares fora disso","Não há tipologia única de pares aplicável a todas as análises","alta","Construir município-região-RS agora; reter pares até regra aprovada"
"C.5 Leitura para o município selecionado","PRONTA","PNE public data/diagnostics; Banco SESI; pacote municipal Vocações","id_municipio; municipality_id; indicador; valor; ano","núcleo educacional até 2025","497 diagnósticos municipais PNE; Vocações detalhado em 23 municípios piloto","município","Selecionar pelo código IBGE canônico e rotular a lente","Vocações municipal não cobre todo RS no mesmo nível de detalhe","alta","Usar PNE para cobertura estadual e enriquecer onde houver pacote"
"D.1 População adulta sem ensino fundamental concluído","PARCIAL","Banco SESI public.censo_populacao_ensino_fundamental_concluido_18_mais; componentes PNE 10061","id_municipio; ano; populacao_18_mais_total; populacao_18_mais_ensino_fundamental_concluido","2010 e 2022","497 municípios do RS","residentes; município e região","Subtrair concluídos do total por faixa compatível","Dois censos; sem atualização anual","alta","Materializar estoque 2010/2022 e não interpolar como observado"
"D.2 População adulta sem ensino médio concluído","PARCIAL","Banco SESI public.censo_populacao_ensino_medio_concluido_18_mais","id_municipio; ano; populacao_18_mais_ensino_medio_concluido e total compatível","2010 e 2022","497 municípios do RS","residentes; município e região","Subtrair concluídos do total","Somente censos e precisa garantir denominador idêntico","alta","Materializar 2010/2022 com metadado de universo"
"D.3 Público potencial EJA por município e idade","PARCIAL","Banco SESI tabelas de conclusão adulta; public.populacao_idade","id_municipio; ano; idade/faixa; total; concluido","2010 e 2022 para conclusão; 2014-2025 para população","497 municípios","residentes; município e região","Compatibilizar faixas adultas e calcular estoque mínimo","Conclusão não está disponível por idade simples em todos os cortes","média-alta","Usar faixas publicadas e explicitar que não é demanda efetiva"
"D.4 Matrículas da EJA","PRONTA","Banco SESI public.censo; public.eja_integrada_educacao_profissional; public.censo_escolas","id_municipio; ano; dependencia; mat_eja; mat_eja_fundamental_*; mat_eja_medio_*","2014-2025","497 municípios do RS","escolas localizadas; município; região; rede","Somar contagens e recomputar participação","Matrícula localizada não identifica residência","alta","Consumir no piloto"
"D.5 Escolas, turmas, etapas, redes e turnos da EJA","PARCIAL","Banco SESI public.censo/public.censo_escolas; PNE .tmp censo_escolar_escola_hist e detalhe 2025","cod_escola; id_municipio; dependencia; turmas_eja; mat_eja_*; QT_TUR_EJA_*; QT_MAT_EJA_D/N","2014-2025; turno detalhado 2007-2025","escolas/turmas em 497; turno apenas 3 municípios-piloto","escola; município; região; rede; etapa","Agregar escola/turma; incorporar turno somente no piloto de 3 municípios","Turno não está materializado/publicado para os 497; arquivos estão em .tmp","alta","Não publicar turno estadual; promover fonte oficial antes de ampliar"
"D.6 EJA integrada à educação profissional","PRONTA","Banco SESI public.eja_integrada_educacao_profissional","id_municipio; ano; mat_eja_*_integrada; dependencia implícita nas colunas; percentual_eja_integrada_educacao_profissional","2014-2025","497 municípios do RS","escolas localizadas; município; região; rede","Somar numeradores e denominadores; recomputar percentual","Valores pequenos podem ser suprimidos/zero; residência não identificada","alta","Consumir com contagens e percentual"
"D.7 Matrícula EJA por público potencial","DERIVÁVEL","Banco SESI conclusão adulta; public.censo/public.eja_integrada_educacao_profissional","id_municipio; ano; população sem conclusão; mat_eja_total","2010/2022 para potencial; 2014-2025 para matrícula","497 municípios; interseção temporal 2022","residentes versus escolas localizadas","Calcular razão apenas em 2022 ou comparação de estoques com referência explícita","Lentes diferentes e potencial não equivale a demanda","alta","Materializar leitura 2022 com ressalva; não criar série falsa"
"E.1 Matrículas por modalidade de educação profissional","PRONTA","Banco SESI public.ept_nivel_medio; public.censo","id_municipio; ano; mat_integrado_*; mat_concomitante_*; mat_subsequente_*; mat_integrada_eja_*","2013-2025","497 municípios do RS","escolas localizadas; município; região; rede","Somar modalidade/rede e recomputar região","Não contém ingressante/concluinte","alta","Consumir modalidades no piloto"
"E.2 Cursos de educação profissional","PARCIAL","Vocações Vale do Rio Pardo base municipal de cursos técnicos","id_municipio; ano; curso; eixo_tecnologico; rede/ofertante","2025","10 de 23 municípios do Vale do Rio Pardo; não cobre RS","município e região piloto","Normalizar nomes e contar oferta por município","56 registros; fotografia de um ano e cobertura municipal incompleta","alta","Usar como evidência local, não como cobertura regional completa"
"E.3 Eixos tecnológicos","PARCIAL","Vocações Vale do Rio Pardo base de cursos técnicos","id_municipio; ano; eixo_tecnologico; curso","2025","10 municípios; 8 eixos","município e região piloto","Agregar cursos por eixo","Mesma cobertura parcial da base de cursos","alta","Materializar somente para municípios presentes"
"E.4 Ingressantes da educação profissional","AUSENTE","CAPES students_2024.csv foi rejeitada como substituta","nenhum campo EPT de ingressante encontrado; ST_INGRESSANTE é pós-graduação stricto sensu","não disponível","não disponível","não disponível","nenhuma","A variável semelhante pertence à CAPES/pós-graduação e não representa EPT","alta","Localizar fonte EPT com ingressantes por município/curso"
"E.5 Concluintes da educação profissional","AUSENTE","CAPES students_2024.csv foi rejeitada como substituta","nenhum campo EPT de concluinte encontrado; NM_SITUACAO_DISCENTE=TITULADO é pós-graduação","não disponível","não disponível","não disponível","nenhuma","Matrículas EPT não permitem inferir concluintes","alta","Localizar fonte EPT com concluintes por município/curso"
"E.6 Rede da educação profissional","PRONTA","Banco SESI public.ept_nivel_medio; public.censo/public.censo_escolas","id_municipio; ano; mat_*_federal; estadual; municipal; privada; dependencia","2013-2025","497 municípios do RS","escola localizada; município; região; rede","Somar por rede e modalidade","Oferta pode ocorrer sem residência local","alta","Consumir com lente explícita"
"E.7 Município da educação profissional","PRONTA","Banco SESI public.ept_nivel_medio; public.censo_escolas","id_municipio; cod_escola; ano; mat_profissional_tecnico*","2013-2025","497 municípios do RS","escola e município","Agregação direta por código IBGE","É município da escola","alta","Consumir no piloto"
"E.8 Oferta de aprendizagem profissional","INADEQUADA","CAGED raw CAGEDMOV; indicadoraprendiz","indicadoraprendiz; município; idade; movimento","2020-jun/2026","RS e Brasil nos arquivos locais","vínculos/movimentos localizados no trabalho","Poderia contar aprendizes empregados/admitidos, não vagas ofertadas","Emprego de aprendiz não mede oferta de programas ou vagas","alta","Renomear análise para emprego aprendiz ou buscar oferta real"
"E.9 Correspondência curso, eixo e ocupação","PARCIAL","Vocações base de cursos; ponte curricular; RAIS ocupações","curso; eixo_tecnologico; cod_ocupacao/CBO; associacao","cursos 2025; ocupações 2006-2025","curso em 10 municípios; associações indicativas e escassas","município/região piloto","Validar e expandir ponte curso-eixo-CBO","A ponte tem cobertura pequena e não é uma correspondência oficial exaustiva","alta","Usar apenas associações verificadas; não generalizar"
"E.10 Oferta formativa × transformações ocupacionais","PARCIAL","Cursos técnicos VRP; RAIS ocupações; CAGED; cenários Vocações","id_municipio; curso; eixo; CBO; vínculos; saldo_movimentacao; ano","trabalho 2006-2025/2026; cursos 2025","trabalho amplo; cursos só 10 municípios do piloto","município e região piloto","Agregar tendência ocupacional e cruzar por ponte validada","Oferta é fotografia incompleta e ponte é parcial","alta","Construir piloto apenas nos municípios/cursos cobertos"
"F.1 Vínculos de 15 a 17 anos","PRONTA","CEI public.rais_vinculos; RAIS 2025 Parquet","ano; id_municipio; faixa_etaria=2; vinculos_ativos","2019-2025","497 municípios do RS em todos os anos","trabalhadores/vínculos localizados no município","Filtrar faixa 2=15-17 e somar","RAIS mede vínculos formais no município de trabalho, não residentes","alta","Consumir série anual"
"F.2 Vínculos de 18 a 24 anos","PRONTA","CEI public.rais_vinculos; RAIS 2025 Parquet","ano; id_municipio; faixa_etaria=3; vinculos_ativos","2019-2025","497 municípios do RS em todos os anos","vínculos localizados no município","Filtrar faixa 3=18-24","Não identifica residência","alta","Consumir série anual"
"F.3 Admissões e desligamentos juvenis","DERIVÁVEL","CEI CAGED raw CAGEDMOV; public.caged_cnae; public.caged_cnae_ocup","competência; idade; faixaetária; município; tipomovimentação/tipo_movimentacao; saldo_movimentacao","jan/2020-jun/2026; 2025 completo","arquivos nacionais; RS completo no recorte auditado","movimentos no município de trabalho; mensal","Agregar MOV por idade e tipo de movimentação; preservar admissão e desligamento separados","caged_prefeituras guarda saldo, não os dois fluxos; 2026 é parcial/preliminar","alta","Materializar cubo juvenil mensal a partir do MOV local"
"F.4 Primeiro emprego","PARCIAL","CEI CAGED raw CAGEDMOV","tipomovimentação; idade; município; competência","jan/2020-jun/2026","arquivos locais nacionais/RS","movimentos localizados no trabalho","Validar código oficial de tipo de movimentação e então filtrar","O repositório não traz mapeamento semântico verificado suficiente para afirmar primeiro emprego","média","Validar dicionário já referenciado antes de calcular"
"F.5 Aprendizes","DERIVÁVEL","CEI CAGED raw CAGEDMOV","indicadoraprendiz; idade; município; competência; tipomovimentação","jan/2020-jun/2026","RS; 496 municípios com movimento em jun/2026, cobertura variável por mês","movimentos de trabalho localizado","Filtrar indicadoraprendiz e agregar admissões/desligamentos/saldo","Indicador mede vínculo/movimento, não oferta de aprendizagem","alta","Materializar série mensal e rotular como emprego aprendiz"
"F.6 Ocupação ou CBO","PRONTA","CEI public.rais_vinculos_ocupacao; public.rais_ocupacoes_rs_25; public.caged_cnae_ocup; Vocações ocupações","ano; id_municipio; ocupacao/cod_ocupacao; cnae_2_subclasse; vinculos_ativos; saldo_movimentacao","RAIS regional 2006-2025; CEI municipal 2025; CAGED 2023-2025","RS; município no CEI e região no Vocações","Agregar por CBO e compatibilizar nível da classificação","Histórico municipal materializado é desigual entre tabelas; 18 CBO nulos na base regional","média-alta","Usar série regional e município 2025; materializar histórico municipal quando necessário"
"F.7 Setor ou CNAE","PRONTA","CEI public.rais_vinculos_cnae; public.rais_estabelecimentos; public.caged_cnae; Vocações RAIS subsetor","ano; mes; id_municipio; cnae_2_subclasse; vinculos_ativos; qntd_estabelecimentos; saldo_movimentacao","RAIS 2006-2025 conforme tabela; CAGED 2020-jun/2026","497 municípios do RS; CAGED nacional","vínculos/estabelecimentos localizados","Normalizar CNAE e agregar por setor","Mudanças de classificação e recortes exigem tabela de correspondência","alta","Consumir com versão CNAE registrada"
"F.8 Escolaridade dos vínculos","PRONTA","CEI public.rais_vinculos; RAIS 2025 Parquet; Vocações escolaridade regional","ano; id_municipio; grau_instrucao/grau_instrucao_apos_2005; vinculos_ativos","2019-2025 municipal; 2006-2025 regional","497 municípios do RS","vínculos localizados","Agrupar categorias de escolaridade com dicionário RAIS","Escolaridade do vínculo não é oferta educacional","alta","Consumir no piloto"
"F.9 Salário/remuneração","PRONTA","CEI public.rais_renda; public.rais_ocupacoes_rs_25; RAIS 2025 Parquet; Vocações ocupações","faixa_remuneracao_dezembro_sm; massa_salarial_dezembro; massa_salarial_dezembro_sm; vinculos_ativos","histórico RAIS disponível; 2025 detalhado","RS; município e região conforme tabela","Calcular média somente por massa/vínculos, não média de médias","RAIS é emprego formal; valores monetários exigem base/deflator se comparados no tempo","alta","Consumir em salários mínimos ou deflacionar explicitamente"
"F.10 Município de trabalho","PRONTA","CEI public.rais_vinculos; public.caged_*; arquivos RAIS/CAGED","id_municipio; sigla_uf","RAIS 2019-2025; CAGED 2020-jun/2026","497 municípios do RS na RAIS; cobertura mensal por movimento no CAGED","trabalho localizado","Juntar ao mapa canônico IBGE-FIERGS","Não é município de residência","alta","Consumir com rótulo município do vínculo/movimento"
"F.11 Histórico anual ou mensal do trabalho juvenil","PRONTA","CEI public.rais_vinculos; CAGED raw e tabelas public.caged_*","ano; mes; faixa_etaria/idade; vinculos_ativos; tipo_movimentacao; saldo_movimentacao","RAIS 2019-2025; CAGED jan/2020-jun/2026","497 municípios na RAIS; CAGED variável por mês","município e região","Usar RAIS para estoque anual e CAGED para fluxo mensal","Não emendar saldo CAGED ao estoque mensal defeituoso sem reconciliação","alta","Construir duas séries separadas; ignorar estoque_emprego_faixa_etaria"
"G.1 Migração por faixa etária","PARCIAL","Vocações pacote municipal e séries demográficas","id_municipio; ano_censo; faixa_etaria; medida_migratoria","2010 e 2022","23 municípios do Vale do Rio Pardo no pacote auditado","residentes; município e região piloto","Calcular mudança intercensitária por faixa","Sem periodicidade anual e sem origem/destino","alta","Usar como sinal estrutural, não como fluxo recente"
"G.2 Município de residência anterior","AUSENTE","nenhum conjunto materializado encontrado","município_origem; município_destino; faixa_etaria; período","não disponível","não disponível","origem-destino de residentes","nenhuma","Indicadores de migração agregada não recuperam o município anterior","alta","Pesquisar posteriormente tabela OD censitária"
"G.3 Deslocamento para estudo","AUSENTE","nenhum conjunto materializado encontrado","municipio_residencia; municipio_estudo; idade/etapa; período","não disponível","não disponível","origem-destino de estudantes","nenhuma","Matrículas por escola não informam residência","alta","Pesquisar posteriormente fonte OD de estudo"
"G.4 Deslocamento para trabalho","AUSENTE","nenhum conjunto materializado encontrado","municipio_residencia; municipio_trabalho; faixa_etaria/ocupacao; período","não disponível","não disponível","origem-destino de trabalhadores","nenhuma","RAIS/CAGED trazem local de trabalho, não residência do trabalhador","alta","Pesquisar posteriormente fonte OD de trabalho"
"G.5 Transporte escolar como mobilidade","INADEQUADA","PNE .tmp Censo Escolar; Banco SESI public.fnde_pnate_municipio_dashboard","QT_TRANSP_PUBLICO; QT_TRANSP_RESP_EST; QT_TRANSP_RESP_MUN; total_alunos; repasse_total","Censo 2023-2025 no recorte piloto; PNATE conforme planilhas","turno/transporte censitário em 3 municípios; PNATE municipal mais amplo","beneficiários/financiamento, não OD","Pode medir atendimento/financiamento de transporte","Não identifica origem e destino nem residência-escola","alta","Usar em condições/acesso; não usar como deslocamento"
"G.6 Município de residência e município da escola","AUSENTE","nenhum conjunto materializado encontrado","municipio_residencia; id_municipio_escola; cod_escola; ano","não disponível","não disponível","estudante residente versus escola localizada","nenhuma","Censo Escolar agregado não possui residência do aluno disponível nos recursos auditados","alta","Pesquisar fonte segura e publicável de vínculo residência-escola"
"G.7 Municípios que recebem estudantes de outros locais","AUSENTE","depende de G.6, ausente","municipio_residencia; municipio_escola; quantidade","não disponível","não disponível","fluxo de estudantes","nenhuma","Excesso de matrículas sobre população não prova recepção de estudantes","alta","Não inferir; obter matriz OD"
"H.1 Infraestrutura escolar","PRONTA","Banco SESI public.censo/public.censo_escolas; vw_educacao_infraestrutura_escolar_ativa","cod_escola; id_municipio; ano; in_agua_potavel; in_energia_inexistente; in_internet; in_biblioteca_sala_leitura; in_quadra_esportes; in_esgoto_rede_publica","2014-2025","497 municípios do RS; nível escola","escolas localizadas; município; região; rede","Contar escolas ativas e calcular proporções por denominador explícito","Mudanças de questionário geram quebras por item","alta","Consumir itens comparáveis e registrar disponibilidade anual"
"H.2 Conectividade","PRONTA","Banco SESI public.censo/public.censo_escolas","escolas_com_internet; escolas_com_internet_alunos; escolas_com_internet_aprendizagem; escolas_com_banda_larga; tp_rede_local","2014-2025, conforme variável","497 municípios do RS","escolas localizadas; município; região; rede","Calcular proporção sobre escolas com resposta válida","Disponibilidade das perguntas varia por ano","alta","Consumir com máscara de disponibilidade"
"H.3 Jornada e horas-aula","PRONTA","PNE inep_indicadores_eb (HAD); Banco SESI public.censo; recorte .tmp de turno","indicator/measure HAD; year; municipality_id; mat_*_integral; IN_DIURNO/IN_NOTURNO; QT_MAT_*_D/N","HAD 2023-2025; integral 2014-2025; turno piloto 2007-2025","HAD/integral municipal amplo; turno somente 3 municípios","escolas localizadas; município; região","Usar HAD e integral como séries distintas; não misturar com turno","Turno detalhado não cobre o RS","alta","Construir horas-aula/integral agora; reter turno estadual"
"H.4 Tamanho das turmas","PRONTA","Banco SESI public.alunos_turma; vw_educacao_turmas_docentes","ano; id_municipio; dependencia; etapa_ensino; serie; alunos_por_turma; turmas; matriculas","série materializada; núcleo recente até 2025","497 municípios do RS conforme combinação","escolas localizadas; município; região; rede; etapa","Ponderar alunos_por_turma por turmas/matrículas","Média simples entre municípios é incorreta","alta","Consumir com peso documentado"
"H.5 Adequação da formação docente","PRONTA","Banco SESI public.adequacao_docente; PNE inep_indicadores_eb (AFD)","ano; id_municipio; localizacao; dependencia; etapa; percentual_adequacao","2014-2025","497 municípios do RS conforme categoria","rede responsável/escolas localizadas","Ponderar percentuais por docentes válidos","Não é qualificação de todos os trabalhadores docentes residentes","alta","Consumir no piloto"
"H.6 Regularidade e esforço docente","PRONTA","PNE inep_indicadores_eb (IRD e IED)","municipality_id; year; indicator/measure; value; status; network; stage","2023-2025 no bundle normalizado; IRD 2025 também em XLSX temporário","497 municípios, com indisponibilidades explícitas por medida","rede/escola localizada; município e região","Filtrar códigos IRD/IED e preservar status unavailable","Não combinar os dois indicadores em um escore único","alta","Consumir separadamente"
"H.7 Nível socioeconômico","PARCIAL","Banco SESI public.inse; PNE INSE 2023 escola","ano; id_municipio; rede; media_inse; qtd_alunos_inse; pc_nivel_socio_1..8","2019, 2021 e 2023","495 de 497 municípios em 2023; cobertura variável","alunos avaliados/escolas; município e região","Ponderar por qtd_alunos_inse","Bienal e dois municípios sem cobertura; universo é de alunos com INSE","alta","Consumir com cobertura e população de referência visíveis"
"H.8 Aprendizagem","PRONTA","Banco SESI public.saeb/public.saeb_ideb/public.saeb_proficiencia; public.alfabetizacao","id_municipio; ano; disciplina; etapa/categoria; rede/dependencia; valor; nivel_proficiencia; qtd_alunos; taxa_alfabetizacao","SAEB/IDEB 2005-2025; alfabetização 2023-2025","RS municipal, com supressões e cobertura variável por edição","município; região; RS; rede; etapa","Respeitar periodicidade, ponderação e supressões","Avaliação não é anual para todas as séries","alta","Consumir por edição"
"H.9 Relação entre condições, trajetória e resultados","DERIVÁVEL","Famílias H.1-H.8 e B.1-B.9","id_municipio; ano; rede; etapa; indicadores; pesos","interseção principal 2019-2025","até 497 municípios conforme indicador","município e região","Juntar apenas em ano/rede/etapa compatíveis; descrever associação, não causalidade","Cobertura e universos diferentes; risco ecológico","alta","Materializar painel analítico com máscaras de compatibilidade"
"I.1 Cenários regionais","PARCIAL","PNE public data/vocacoes manifest; pacotes Vocações","region_id; scenario_id; horizon; dimensions; evidence; limits","base 2026; horizonte 2031 no pacote atual","4 cenários somente Noroeste e Vale do Rio Pardo; 2 de 10 regiões","região FIERGS","Consumir cenários e metadados existentes","Oito regiões não possuem cenários equivalentes publicados","alta","Pilotar nas duas regiões e não extrapolar"
"I.2 Cenários municipais","AUSENTE","pacote municipal Vocações contém exposição/composição, não cenários","id_municipio; scenario_id; horizon; method — não encontrados como cenário municipal","não disponível","não disponível; 23 municípios têm apenas exposição","município","nenhuma","Decomposição de exposição regional não constitui cenário municipal","alta","Definir método e produzir cenários municipais em rodada futura"
"I.3 Tendências demográficas","PRONTA","Banco SESI public.populacao_idade; Vocações séries demográficas","id_municipio; ano; idade; sexo; pop_estimada","2014-2025 municipal; históricos complementares no Vocações","497 municípios do RS","residentes; município e região","Calcular variações, envelhecimento e coortes","A série é estimada entre censos e não é projeção futura municipal","alta","Consumir tendências observadas/estimadas"
"I.4 Coortes já nascidas","PRONTA","Vocações nascimentos; Banco SESI public.populacao_idade","id_municipio; ano_nascimento/ano; idade; população/nascimentos","histórico observado e população até 2025","municípios cobertos; núcleo populacional 497","residentes/ocorrências conforme fonte","Seguir coortes por ano esperado e mostrar perdas/ganhos agregados","Nascimento pode ser por ocorrência ou residência conforme base; confirmar rótulo no consumidor","média-alta","Construir coortes observadas com metadado da lente"
"I.5 Setores em crescimento, retração ou transformação","PARCIAL","RAIS subsetor/CNAE; CAGED; CEMPRE; cenários Vocações","ano; mes; id_municipio; cnae; vinculos; estabelecimentos; saldo; evidência de cenário","RAIS até 2025; CAGED até jun/2026; CEMPRE 2022-2024","497 municípios para trabalho; cenários em 2 regiões","empregos/estabelecimentos localizados; município e região","Calcular tendência e volatilidade; vincular qualitativamente a cenários","Transformação estrutural futura não é observada diretamente e cenários não cobrem 10 regiões","alta","Construir crescimento/retração observada; limitar transformação aos cenários cobertos"
"I.6 Ocupações em expansão ou reposição","PARCIAL","RAIS ocupações; CAGED ocupações; Vocações","ano; mes; CBO; id_municipio; vinculos_ativos; tipo_movimentacao; saldo_movimentacao","2006-2025 regional; 2023-2025 CAGED ocupação; 2025 municipal RAIS detalhada","RS; granularidade municipal desigual no histórico","ocupações localizadas","Calcular expansão líquida e rotatividade","Reposição exige separar criação de posto, substituição e desligamentos; histórico municipal não é homogêneo","média-alta","Construir expansão observada; reter reposição até método/fluxo completos"
